featureExtraction,trees.HoeffdingAdaptiveTree,28,25,-1,0,2,-1,clustream,relevance,0.30000000000000004,6.31,78.91
featureExtraction,meta.OzaBagAdwin,12,2,-1,0,2,-1,clustream,random,1.0,4.88,82.93
featureExtraction,trees.HoeffdingAdaptiveTree,18,5,1,0,2,-1,clustream,relevance,0.25,5.00,81.78
featureExtraction,bayes.NaiveBayes,28,25,1,0,2,-1,clustree,random,0.35000000000000003,5.79,68.35
featureExtraction,meta.AdaptiveRandomForest -s 10 -m 80,5,7,1,0,2,-1,clustree,relevance,0.8500000000000001,2.02,89.88
featureExtraction,bayes.NaiveBayes,18,4,-1,0,2,-1,clustream,random,0.9,8.06,71.15
featureExtraction,lazy.SAMkNN,18,25,1,0,2,-1,clustree,relevance,0.30000000000000004,2.62,81.50
featureExtraction,meta.AdaptiveRandomForest -s 10 -m 80,18,10,1,0,2,-1,clustree,random,0.2,2.04,89.91
featureExtraction,meta.OzaBagAdwin,8,3,-1,0,2,-1,clustream,relevance,0.7000000000000001,5.05,83.30
featureExtraction,functions.MajorityClass,43,1,1,0,2,-1,clustree,relevance,0.75,6.44,57.60
featureExtraction,functions.MajorityClass,18,10,1,0,2,-1,clustree,random,0.2,6.44,57.60
featureExtraction,bayes.NaiveBayes,18,10,1,0,2,-1,clustree,random,0.2,6.01,66.28
featureExtraction,trees.HoeffdingAdaptiveTree,18,10,1,0,2,-1,clustree,random,0.2,5.50,80.40
featureExtraction,meta.AdaptiveRandomForest -s 10,18,10,1,0,2,-1,clustree,random,0.2,2.04,89.46
featureExtraction,meta.OzaBagAdwin,18,10,1,0,2,-1,clustree,random,0.2,5.43,82.37
featureExtraction,meta.AdaptiveRandomForest -s 10,5,10,1,0,2,-1,clustree,random,0.2,2.23,89.13
featureExtraction,meta.AdaptiveRandomForest -s 10,28,10,1,0,2,-1,clustree,random,0.2,2.60,88.58
featureExtraction,meta.AdaptiveRandomForest -s 10,65,10,1,0,2,-1,clustree,random,0.2,2.25,89.05
featureExtraction,meta.AdaptiveRandomForest -s 10,8,10,1,0,2,-1,clustree,random,0.2,2.08,89.62
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,3,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,1,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,13,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,25,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,18,1,0,2,-1,clustree,random,0.2,2.22,89.70
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,random,0.2,2.14,89.76
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustream,random,0.2,1.98,89.35
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.2,1.89,90.47
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.4,1.93,90.29
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.6000000000000001,2.04,90.18
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.1,1.94,90.68
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.7000000000000001,2.07,89.92
featureExtraction,meta.AdaptiveRandomForest -s 10,12,10,-1,0,2,-1,clustree,relevance,0.25,1.85,90.72
