learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
500.0,0.109375,3.9027266514798005E-9,500.0,67.0,34.02111324376201,31.250000000000007,26.666666666666668,500.0,137928.0,10.0,505.5,36.27748000558412,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.21875,7.852989559372266E-9,1000.0,68.4,36.80227511809576,34.979423868312765,34.02922755741128,1000.0,139608.0,10.0,1008.1,38.417154732980656,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.296875,1.0708560391018788E-8,1500.0,68.8,37.59999999999999,36.71399594320486,36.45621181262728,1500.0,141288.0,10.0,1498.0,33.542675968251395,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,1.1279674557348092E-8,2000.0,70.0,39.994239446986896,39.02439024390243,39.14807302231236,2000.0,141288.0,10.0,1993.6,47.25627530345103,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.328125,1.1850788723677397E-8,2500.0,70.89999999999999,41.81536074476338,40.36885245901639,41.4486921529175,2500.0,141288.0,10.0,2486.5,64.78039826984708,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,1.3584503903985023E-8,3000.0,69.39999999999999,38.805874636034936,40.35087719298245,37.678207739307524,3000.0,142968.0,10.0,2985.8,64.72299951846071,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,0.484375,1.9060001553346713E-8,3500.0,69.6,39.19999999999999,40.15748031496062,38.46153846153845,3500.0,193512.0,10.0,3481.0,69.5317673201729,10640.8,1768.3456675661578,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5625,2.3300267962945832E-8,4000.0,72.1,44.147722268042884,40.12875536480686,41.7536534446764,4000.0,209800.0,10.0,3983.5000000000005,76.24995446264585,12262.4,2243.621833851091,3.4000000000000004,0.8432740427115677,2.2,0.42163702135578385,2.2,0.42163702135578385,1.2000000000000002,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
4500.0,0.59375,2.509170574032598E-8,4500.0,74.2,48.00064495324089,46.47302904564315,44.87179487179487,4500.0,221592.0,10.0,4484.1,70.89029082556608,13436.8,2887.6963829322503,3.8,1.0327955589886444,2.4000000000000004,0.5163977794943222,2.4000000000000004,0.5163977794943222,1.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,2.7844928101532988E-8,5000.0,75.8,51.43214950870208,50.409836065573764,50.409836065573764,5000.0,227040.0,10.0,4983.3,68.98478093028926,13996.0,2947.2427792769295,4.0,1.0540925533894598,2.5,0.5270462766947298,2.5,0.5270462766947298,1.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
5500.0,0.703125,3.162027698838048E-8,5500.0,77.3,54.51849714688722,53.002070393374744,53.9553752535497,5500.0,233496.0,10.0,5479.5,82.51094203531768,14555.199999999999,2887.6963829322503,4.199999999999999,1.0327955589886446,2.5999999999999996,0.5163977794943222,2.5999999999999996,0.5163977794943222,1.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.734375,3.3596039025319947E-8,6000.0,79.10000000000001,58.086666345799046,59.80769230769232,56.639004149377605,6000.0,244392.0,10.0,5975.299999999999,76.3355894863085,15673.6,2357.794223421544,4.6,0.8432740427115678,2.8,0.4216370213557839,2.8,0.4216370213557839,1.7999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
6500.0,0.78125,3.66277850439979E-8,6500.0,78.7,57.275586507911044,58.95953757225434,55.809128630705395,6500.0,250008.0,10.0,6469.0,88.23579520554885,16232.8,1768.3456675661578,4.799999999999999,0.632455532033676,2.8999999999999995,0.316227766016838,2.8999999999999995,0.316227766016838,1.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,3.992709227734142E-8,7000.0,78.3,56.56177436143807,56.85884691848907,56.161616161616166,7000.0,272072.0,10.0,6979.2,85.94933908349084,18429.6,2639.0329541961646,5.6000000000000005,0.9660917830792959,3.3000000000000003,0.48304589153964794,3.3000000000000003,0.48304589153964794,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
7500.0,0.90625,4.5547527002377645E-8,7500.0,78.8,57.57539372836246,59.309021113243766,56.646216768916155,7500.0,278088.0,10.0,7475.800000000001,85.50087718848273,19028.8,2887.69638293225,5.800000000000001,1.0327955589886446,3.4000000000000004,0.5163977794943223,3.4000000000000004,0.5163977794943223,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,4.912409672720565E-8,8000.0,77.3,54.48055698151951,56.00775193798451,52.510460251046034,8000.0,294936.0,10.0,7973.1,75.93630371714323,20706.4,2701.192625489711,6.3999999999999995,0.9660917830792959,3.6999999999999997,0.48304589153964794,3.6999999999999997,0.48304589153964794,2.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
8500.0,1.0,5.2712890060825484E-8,8500.0,76.7,53.299126112402796,52.54582484725051,52.254098360655746,8500.0,295944.0,10.0,8465.0,79.04007422398675,20706.4,2701.192625489711,6.3999999999999995,0.9660917830792959,3.6999999999999997,0.48304589153964794,3.6999999999999997,0.48304589153964794,2.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0625,5.777307604956958E-8,9000.0,77.60000000000001,55.09924270062019,53.333333333333336,54.004106776180706,9000.0,312960.0,10.0,8971.0,71.45939017683018,22384.0,2636.094080263449,7.000000000000001,0.9428090415820637,4.0,0.47140452079103173,4.0,0.47140452079103173,2.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
9500.0,1.109375,6.163680356823736E-8,9500.0,79.80000000000001,59.60387802770936,58.35051546391753,59.6806387225549,9500.0,318616.0,10.0,9469.599999999999,67.21309396241173,22929.600000000002,3177.2296528055176,7.4,1.2649110640673518,4.2,0.6324555320336759,4.2,0.6324555320336759,2.4000000000000004,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.15625,6.5699504274461E-8,10000.0,80.60000000000001,61.19627484238488,60.72874493927126,61.04417670682732,10000.0,335024.0,10.0,9980.100000000002,62.197624106105835,24564.0,4597.793093793296,7.799999999999999,1.686548085423135,4.3999999999999995,0.8432740427115675,4.3999999999999995,0.8432740427115675,2.4000000000000004,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
